Course,Campus,Term,Section,Invited,Responded,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Q9 mean,Q10 mean,Q11 mean,Median1,Median2,Median3,Median4,Median5,Median6,Mode1,Mode2,Mode3,Mode4,Mode5,Mode6,StdDev1,StdDev2,StdDev3,StdDev4,StdDev5,StdDev6,A2,C2,D2,D4,E1,E2,E3,Comment for Q7,Comment for Q8
Leadership Skills,UTSC,Winter_2020,LEC01,22,5,3,3,3.6,2.8,3,3,2.8,3.2,3,3,3,4,3,3,3,"3,4","3,4",4,3,"1,2,3,4,5",3,1.2,1.2,1.1,1.5,1.6,0.7,N/A,N/A,N/A,N/A,N/A,N/A,N/A,b'Thank you for the opportunity to work on a project that involves a real company. Not many courses have this feature. I also personallyappreciate for the prompt measures taken to facilitate for an online learning environment over just one weekend. It was happy tohave you and get to know you in my undergrad!Felt the participation coupons were not that effective as it counted how many times you spoke and not the quality of your commentPhani did a good job teaching this class. I enjoyed the role plays and simulations alot. I loved how there was a lesson behind therole play which helped deepen the understanding of topic at hand.8. Please comment on any assistance that was available to support your learning in this course.Comments',"b""Sometimes responsive to emailsFor assignments, felt that TA's marked too harshly and almost unreasonablyI think whatever was taught in class was enough assistance to my learning for this course"""
Leadership Skills,UTSC,Fall_2020,LEC02,40,11,3,2.9,3.4,3,3.2,3,3,3.5,3.2,3,3,4,3,4,3,"2,3,4","3,4",4,4,4,"2,3,4",1.2,1.3,1.3,1.3,1.3,1.2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"b'There are too many platforms (i.e. Zoom, Teams and an online discussion site) to use during a lecture. It is a bit confusing. Why notjust using BB Collaborate?Have been with Dr. R for over 2 years now. She made the lectures very interesting so that i never looses interest in such materialI felt like I joined a cross\xe2\x80\x93continental coach bus where I did not know where I was going and somehow find an appropriatedestination. I wish there was far more cohesion and emphasis in what we are doing and why its important. Not a bad experiencebut not the best either, mostly because we had no clue what was going on but went along with whatever.Prof Radhakrishnan is not great at teaching. It is so ironic, that we discussed about the topic ""feedback"", but the prof never seem tochange her teaching style. Have you ever put yourself at the students position and listen to a recording of yourself teaching? Haveyou considered looking on the reviews on RateMyProf? because I can confirm that your teaching is an utter mess. You keep onasking so many questions in the lectures, are you actually teaching? or are you just making us students more confused? What isthe point of coming to lectures, if the objective of your teaching is to ask us questions that we don\'t know the answers to. Are theSTUDENTS teaching the class or are YOU teaching the class? I also do not see the purpose in coming to your office hours, youshould have already explained everything clearly in the lecture. Role plays and discussions are useless, that time could have beenbetter used by you teaching and explaining MORE, instead of asking students. I feel bad for the undergraduate students who has nochoice but to take courses with you. Also, I do not understand your obsession of having our faces on camera, pictures of our faces,not all of us prefer to have our faces critiqued, I can\'t even focus if I feel my face is being watched and recorded. Conclusion, thequality of instruction in this course our any course taught by Prof Radhakrishnan is really bad, no improvement from previous years.Greatly dissappointed, waste of money, waste of time, waste of my education.Engaging and quite applicable to real life.This course is a little dry as I don\'t have any interest in it but Professor Phani made the course more fun by implementing groupdiscussions and ""game\xe2\x80\x93like"" exercises with roleplaying scenarios with others in the class even in a remote setting.8. Please comment on any assistance that was available to support your learning in this course.Comments'",b'Good but the TA is a little bit defensive.No assistance available.External research.'
Compensation,UTM,Fall_2021,LEC9101,16,4,3,3.5,3.3,3,3.3,2.3,3,3.5,3.2,2.5,3.5,3,3,3,2,2,"2,3,4,5",3,"1,2,4,5",2,2,1.4,1.3,1.3,1.8,1.5,1.3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"b""The instructions for the course were not very clear. The quercus page was very cramped and all over the place. We didn't receivemuch info about the final exam. Also the group project instructions were very unclear and vagueNot good.8. Please comment on any assistance that was available to support your learning in this course.Comments""",b'Many guest but have no help.'
Leadership Skills,UTSC,Summer_2021,LEC02,40,7,3.3,3.1,4.1,3.7,3.9,3.3,3.1,3.3,3.4,4,4,5,4,4,4,"2,4",4,5,4,5,4,1.3,1.2,1.2,1.3,1.3,1.4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"b""Hard to navigate course page at times since we had different PowerPoints and documents to cover per classI enjoyed the different opportunities to showcase my understanding (journals, exercise plans, etc.)Enjoyed the role\xe2\x80\x93playing games & use of iDecision games, should have a way to enforce participation in games. Frequently satthere alone in the group as the other party did not participate or show up.Very good!The class was very a discussion\xe2\x80\x93based class and I'm not clear about the main takeaways from the course contents.8. Please comment on any assistance that was available to support your learning in this course.Comments""","b""MS TeamsOpen availability on MS Teams, quick response times and follows up with questions asked in class.Maybe if the professor covered more textbook materials and concepts, it would've been more stimulating for students to learn moreabout different leadership skills."""
Human Resources,UTM,Winter_2020,LEC0101,18,3,2.7,3,3.7,3.7,3.3,3.3,3.1,3.3,3.4,2,2,4,3,3,3,"1,2,5",2,"2,4,5",3,"2,3,5","2,3,5",2.1,1.7,1.5,1.2,1.5,1.5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"b""Overall, this course was fun. I felt like a high school student again. The prof was very kind and approachable. I enjoyed the class alot. The discussions were fun and helpful. I feel like the use of PPT wasn't very effective. In the end, I had to spend more time on the textbook than the lecture notes. Althoughthe tests were open book, it would have been helpful to have more information on the slides. Also, all the test questions came fromthe textbook. Maybe for future classes teach some textbook material in class. That way, tests wont have to be open book. Tbh, I dontfeel like i learned much from this course. I mean, all I did was copy paste from the book.Oh, and it would be helpful to have more SPSS tutorials AND post the codes used on quercus.Professor was very kind throughout lecture, however I don't think that the lecture style helped me personally learn.8. Please comment on any assistance that was available to support your learning in this course.Comments""",b'Prof. was def. available in class. Textbook was the only good resource. Really needs a better classroom component in my opinion.'
Negotiation Skills,UTSC,Winter_2021,LEC01,14,4,4.3,4.8,4.8,4.8,4.8,4.5,4.8,3,4.8,4.5,5,5,5,5,5,5,5,5,5,5,5,1,0.5,0.5,0.5,0.5,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"b'The course was mostly experiential based with students negotiating with each other in almost every class. This was fantastic asthe best way to learn is to do. For some of the classes I would have appreciated a little more time having the professor explain bestpractices. Sometimes the professors instructions were unclear and getting a clear understanding of what she expected took a goodbit of time through speaking with her. It is important to note that the professor did spend all the time necessary before and afterclass to ensure we are happy and get the answers we are looking for, its just that sometimes it felt like she was evading giving us aclear answer.The quality of the instruction in this course was very good. Professor did a great job in making sure we understood the instructionsgiven.8. Please comment on any assistance that was available to support your learning in this course.Comments'","b'All assistance needed was given by the professor or TA when needed.The professor made sure that the students really understood the content of this course, and that was amazing.'"
Compensation,UTSC,Fall_2020,LEC01,16,4,3.8,4,4.3,3.8,3.8,4,4.3,4,3.8,3.5,4,4.5,3.5,4,4,3,4,5,3,5,"3,5",1,0.8,1,1,1.5,1.2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"b""The overall quality of the instructions in this course was great! Starting from our course schedule, Dr.R made a detailed andorganized schedule that showed us each topic, homework, reading that is covered for that week. This allowed us to always prepareahead of time. During class, Dr.R always tried to keep the class engaged with breakout rooms. She cared about her studentssuccess and well being!There are good things and bad things. I would like to start off by saying i liked the way the professor teaches and explain conceptsfor compensation. They made sense and felt like i could follow along. Her group project did deepen my knowledge in the concept ofcompensation. Although, it was an immense amount of work, and along other courses during the semester, this is too much tohandle and stressful given it is so close to exam season. The questions for the group project can be vague and leave peoplefeeling confused but she does assist with allowing and encouraging setting up meetings with her. I think her teachings of thecourse material and her group project were what I liked most. Despite the amount of intense work, it was interesting and I liked theflexibility to explore ideas and explain them than to be tested on them. The exam was very confusing. The questions mention topics discussed in class, but the way they were phrased were very vagueand you could not properly understand what it was asking from you that she expected. Additionally, to make things worse, questionswere weighted 3, 7 or 8 marks each. That was very confusing because the question would ask for something really big that requiresa lot of explaining, but was worth only 3 points. so would that mean 3 sentences? it was really hard to understand what she wantedfrom us which made the exam very frustrating. If i can suggest, i would recommend making the exams out of 100 for better cognitiveunderstanding for those students as that is what they are used to. Additionally, the extra material to be read during the exam washorrifying to make things worse. The additional reading required during an exam made things immensely overwhelming and feltlike there was not enough time. I was not fond of her exam. I am sorry, but that is simply my own opinion. Her quiz questions were also quite confusing, was also not a fan of those. Only the last quiz seemed reasonable. The weekly homeworks were both good and bad. It was bad to have so much due during the week every week during the first half ofthe course, but I honestly believe part of the experience in solidifying that knowledge during this course is dependent on thoseweekly homeworks. I hate them, but I would not remove them as it was a crucial part in developing my understanding andsolidifying my knowledge for this course.Overall, she is a very kind professor with great intentions for her student's development and learning. The group project andhomeworks are appreciated to say in the most positive way. But the exam was such a mess, and the quiz was alright i guess. Theexam was horrifying and 10/10 would not recommend (sorry :( ) but i hope she finds a way to enhance her exams to have better directed questions for her students' understanding.I understand now why she says why harsh professors who are effective in getting learning across are evaluated moreharshly/negatively. Her homeworks and group project were so much work to complete, but effective in getting the learning across.Shes a great professor, but please, for the sake of future students, please fix the exam questions to be less vague, less additionalreadings, and a better weighting?She has also inspired me to consider continue learning stats. :)professor radakrishnan did a very good job explaining the concepts. I feel however that there was so much readings from thetextbook that it was not possible to go over every concept in class. There was a lot of self\xe2\x80\x93learning to be successful via the textbookbut the course instruction was stimulating, engaging, and good.I liked that the quizzes were spread out throughout the semester because it allowed us to study less content for each one. I think thelast quiz should be earlier on though because it was on six chapters. I like the homework because it allows us to apply what welearned. I think that the lecture slides should be cut down though because it is a lot and we do not usually get through them all inclass. For the online exam I think that one article was 27 pages long which had me confused on whether I was supposed to readthat all during the exam. I would recommend only including the important pages not the whole document. I did not feel prepared forthe group project. I was confused on how to conduct the regression and Wharton does not provide a detailed overview on how theygather their data which the professor wanted us to talk about in the project. I think the project would be better if she maybe providedeach group with a dataset and background on the dataset since that information is not provided in Wharton. Questions 3,4,5 arealso very similar in the group project so maybe also more clearly define the differences between each one. Also, I felt that we mostlylearned about job analysis and job evaluation in depth which I liked but we did not cover chapters 2,3,10, and 11 as much.8. Please comment on any assistance that was available to support your learning in this course.Comments""","b'Dr.R always assisted us with anything! She was always willing to get on a zoom call or Microsoft teams call if we needed herassistance regarding any projects!She was always telling us how she was available for us for questions in anyway. Email, MS teams, calls. She made that clear andwas always kind. I appreciate her for this. Thanks professor for your dedication and care.Out of class help via Teams, emails to the professor were very responsive and helpful.The professor was always kind and available to help.'"
Compensation,UTSC,Fall_2021,LEC01,13,2,1.5,1.5,1.5,1.5,1.5,1,1,4,1,1.5,1.5,1.5,1.5,1.5,1,"1,2","1,2","1,2","1,2","1,2",1,0.7,0.7,0.7,0.7,0.7,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"b'b""The overall quality of the instructions in this course was great! Starting from our course schedule, Dr.R made a detailed andorganized schedule that showed us each topic, homework, reading that is covered for that week. This allowed us to always prepareahead of time. During class, Dr.R always tried to keep the class engaged with breakout rooms. She cared about her studentssuccess and well being!There are good things and bad things. I would like to start off by saying i liked the way the professor teaches and explain conceptsfor compensation. They made sense and felt like i could follow along. Her group project did deepen my knowledge in the concept ofcompensation. Although, it was an immense amount of work, and along other courses during the semester, this is too much tohandle and stressful given it is so close to exam season. The questions for the group project can be vague and leave peoplefeeling confused but she does assist with allowing and encouraging setting up meetings with her. I think her teachings of thecourse material and her group project were what I liked most. Despite the amount of intense work, it was interesting and I liked theflexibility to explore ideas and explain them than to be tested on them. The exam was very confusing. The questions mention topics discussed in class, but the way they were phrased were very vagueand you could not properly understand what it was asking from you that she expected. Additionally, to make things worse, questionswere weighted 3, 7 or 8 marks each. That was very confusing because the question would ask for something really big that requiresa lot of explaining, but was worth only 3 points. so would that mean 3 sentences? it was really hard to understand what she wantedfrom us which made the exam very frustrating. If i can suggest, i would recommend making the exams out of 100 for better cognitiveunderstanding for those students as that is what they are used to. Additionally, the extra material to be read during the exam washorrifying to make things worse. The additional reading required during an exam made things immensely overwhelming and feltlike there was not enough time. I was not fond of her exam. I am sorry, but that is simply my own opinion. Her quiz questions were also quite confusing, was also not a fan of those. Only the last quiz seemed reasonable. The weekly homeworks were both good and bad. It was bad to have so much due during the week every week during the first half ofthe course, but I honestly believe part of the experience in solidifying that knowledge during this course is dependent on thoseweekly homeworks. I hate them, but I would not remove them as it was a crucial part in developing my understanding andsolidifying my knowledge for this course.Overall, she is a very kind professor with great intentions for her student\'s development and learning. The group project andhomeworks are appreciated to say in the most positive way. But the exam was such a mess, and the quiz was alright i guess. Theexam was horrifying and 10/10 would not recommend (sorry :( ) but i hope she finds a way to enhance her exams to have better directed questions for her students\' understanding.I understand now why she says why harsh professors who are effective in getting learning across are evaluated moreharshly/negatively. Her homeworks and group project were so much work to complete, but effective in getting the learning across.Shes a great professor, but please, for the sake of future students, please fix the exam questions to be less vague, less additionalreadings, and a better weighting?She has also inspired me to consider continue learning stats. :)professor radakrishnan did a very good job explaining the concepts. I feel however that there was so much readings from thetextbook that it was not possible to go over every concept in class. There was a lot of self\\xe2\\x80\\x93learning to be successful via the textbookbut the course instruction was stimulating, engaging, and good.I liked that the quizzes were spread out throughout the semester because it allowed us to study less content for each one. I think thelast quiz should be earlier on though because it was on six chapters. I like the homework because it allows us to apply what welearned. I think that the lecture slides should be cut down though because it is a lot and we do not usually get through them all inclass. For the online exam I think that one article was 27 pages long which had me confused on whether I was supposed to readthat all during the exam. I would recommend only including the important pages not the whole document. I did not feel prepared forthe group project. I was confused on how to conduct the regression and Wharton does not provide a detailed overview on how theygather their data which the professor wanted us to talk about in the project. I think the project would be better if she maybe providedeach group with a dataset and background on the dataset since that information is not provided in Wharton. Questions 3,4,5 arealso very similar in the group project so maybe also more clearly define the differences between each one. Also, I felt that we mostlylearned about job analysis and job evaluation in depth which I liked but we did not cover chapters 2,3,10, and 11 as much.8. Please comment on any assistance that was available to support your learning in this course.Comments""'","b""b'Dr.R always assisted us with anything! She was always willing to get on a zoom call or Microsoft teams call if we needed herassistance regarding any projects!She was always telling us how she was available for us for questions in anyway. Email, MS teams, calls. She made that clear andwas always kind. I appreciate her for this. Thanks professor for your dedication and care.Out of class help via Teams, emails to the professor were very responsive and helpful.The professor was always kind and available to help.'"""
MGHD25H3,UTSC,Winter_2020,LEC01,25,7,2.6,2.8,2.4,2.9,2.6,2.3,2.6,3.9,2.3,2,3,2,3,3,2,"1,2","1,3",2,"1,4",1,1,1.5,1.6,1.5,1.6,1.6,1.5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"b""Professor R. is very knowledgeable and always willing to teach, but the problem is that she can't teach.Instruction Method: she uses powerpoint slides and uploads them a few days before class. However, I did not find the powerpointsuseful because there is always a lot of information on the slides and that is not properly organized as evidenced by the largenumber of slides per class (40\xe2\x80\x9360 slides). She does add some statistics and graphs which slightly improves our learning.Teaching Style: she doesn't do a lot of teaching because she mostly reads off her notes on the powerpoint slides, which makes itdifficult for us to stay focused because speaks pretty fast and rarely stops. I found it more useful to read the textbook on my own, butI found it unfair that she expected us to read sometimes 2\xe2\x80\x933 chapters per week given that they were on average 30\xe2\x80\x9350 pages. Forexample: the final exam was only two weeks apart from the midterm, but she expected us to read 2\xe2\x80\x933 chapters 1 week, and 2\xe2\x80\x933chapters the next week.I did not learn anything valuable from this course. The instructions of course work were often unclear and vague. Overall, I did nothave a good experience with this course and the corresponding professor.The course about recruitment and selection was interesting. The material about reliability and validity were very challenging to learn,but was a interesting concept. But, I wish the beginning of the course had a better start towards lecture based learning. It felt extremely boring and a lack ofstructure. Personally speaking from my learning style, I found having discussions THROUGHOUT the lecture was not as helpful tobeing able to retain the knowledge. Instead simple questions to trigger into the next topic, or after the lecture about the material isprovided we have a discussion. To have a discussion while the lecture is going made it hard to pinpoint what were points sheactually wanted us to learn vs. what the students are saying and trying to understand if the discussion is a tangent away from thecourse material for the day or part of the course material. No complaints against lectures that were purely discussion basedthough. Its just for the ones where discussion with lecture/chapter material.As a person, she is a very nice and kind person who means well. For that I am grateful. But I believe there is a disconnect there inthe way she teaches and presents herself to students. It almost feels as though she lacks sensitivity to social situations and has alot of favouritism towards particular students, which feels intimating for other students to want to participate. Again, I don't mean to say all of this in a spiteful way, she does seem like a kind person who wants to teach and motivate students,but her intent is not being translated into the impact she is looking for.It feels weird to recommend this to a professor, but if she could receive some sort of training with how to better be able to translateher intent for the students into that same impact for students.But overall, I entered this course with high expectations to learn about recruitment and selection but it was not a very structuredcourse for me to follow, but i do understand this may be a result of my learning style as some may prefer this more free\xe2\x80\x93flowing anddiscussion based lecture style.The professor is so so so bad, the final report's instruction is very unclear.The exams and assignments were relevant to the course. The homework was sometimes a lot of work to do in one week. The labsessions did not seem to relate to any of the assessments (exams or assignments). The assignment had a lot of requirements forthe constraints provided (professor/course requirements and employer requirements) fit into 8\xe2\x80\x93page written report and 15\xe2\x80\x93minutepresentation.Extremely long exams with not enough time to completeExtremely long lectures that are not helpful at allShe does not explain concepts clearly, does not answer questions clearlyShe seems like she is not familiar with the topics of the courseWasted classroom time on a program that we did not have any access to outside of one specific classroom, thus we could notpractice was learned. Additionally, he was not familiar with the program either.She rushed through explanations.Just an overall very low teaching quality.HR Recruitment and Selection MGHD25H3-S-LEC01-Phanikiran Radhakrishnan-4/3/2020 4/168. Please comment on any assistance that was available to support your learning in this course.Comments""","b""While Professor R doesn't know how to teach, she is always willing to help us. We have requested meetings with her to clarifyproject requirements, and she is always patient and helpful. The only thing is that we had to ask her lots of questions because theproject requirements were not clear enough on the project description document.Offers and welcomes support through emailing her for a request to meet. Welcome questions in class, in the switch to onlineclasses, welcomed the option of calls to check in with her for assistance.N/AWebOption, Professor (Office Hours, Online, In\xe2\x80\x93Class)"""
MGHC23H3,UTSC,Summer_2021,LEC01,18,4,4.3,4,4.8,4.5,4.8,4.8,4,3,4.8,5,4,5,4.5,5,5,5,4,5,"4,5",5,5,1.5,0.8,0.5,0.6,0.5,0.5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"b""Overall, I really enjoyed this course! This can be mainly attributed to Professor Radhakrishnan! She really created a reallywelcoming and kind environment for us to be comfortable in\xcd\xbe she's always smiling, supportive, and understanding. As for thecourse material, I really enjoyed being able to discuss with my classmates and learning through conversation and the professor'ssummary at the end of class + the reflection journals as opposed to just reading articles or textbooks. In the future, I think having amore clear outline of what concepts we should have a good grasp of and what the final exam will be like would be helpful to thesuccess of those taking the class. But overall, I really appreciate Professor Radhakrishnan's efforts for this course \xe2\x80\x93 which was veryevident!I enjoyed the class discussion and cases we covered in the course since it gave me new perspectivesProfessor Radhakrishnan managed to make this course very interactive and interesting. She taught concepts through activities thatwere very eye\xe2\x80\x93opening and engaging. She clearly explained concepts and connected the activities to concepts.The prof relied on case studies and in class exercises for the majority of the course work on top of the readings. All of these weregreat because these exercises and cases really challenged our understanding of the class concepts through detailed discussionsand debates.The final group project was also really helpful in helping us further apply the course concepts to a real world problem: Tacklingvaccine hesitancy8. Please comment on any assistance that was available to support your learning in this course.Comments""","b'Professor Radhakrishnan was very accomodating and tried her best to engage her students at all times during the semester. Shealso replies quickly to all questions and messages, and encourages us to ask for clarity or help.MS Teams and prof checking in on breakout roomsProfessor Radhakrishnan was very proactive both on e\xe2\x80\x93mail and on MS Teams. Whenever we had any questions she wouldrespond very promptly and was very encouraging in terms of students asking questions during/after class.The prof was extremely accommodating if we had any questions or concerns about the course material. There were a couple timeswhen my group needed help on the weekends and outside of office hours and she was always very quick to repond via email or byZoom chats.'"
Leadership Skills,UTSC,Winter_2021,LEC04,34,10,3.4,3.7,4.1,3.6,3.9,3.7,3.4,3.5,3.4,3.5,4,4.5,4,4,4,"3,4",4,5,4,4,4,1.1,0.7,1.1,1,0.7,1.2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"b""The lectures were helpful in clarifying the content in the course, but a large portion of the lecture we were doing role\xe2\x80\x93plays.I love the Professor, her energy, attitude, supports, everything! She is the best Prof by far.ExcellentThe overall quality of the instruction in this course was good. I like how the lectures were recorded so that I can watch them and takenotes. I also like the breakout room discussion as it helps me feel really engaged.Overall quality is good and professor creates a good atmosphere to study.The course is very interactive which can be fun, but often I found that many of the topics we discussed in class (and presumably willbe on the exam) did not end up being very relevant or useful in our interactive activities.The course was organized well, and all assignments and evaluations were clearly described.\xe2\x80\x93 classes were a little confusing (got lost)More than two lectures, 3/4 of the class was filled with student's discussion. I was somewhat disappointed because I want to hearmore theoritical things during the class.8. Please comment on any assistance that was available to support your learning in this course.Comments""","b'\xe2\x80\x93N/AN/AProfessor Radhakrishnan and her TA were always available to clarify any confusion and to provide assistance.TA took many pictures, but he does not share it with students.'"
Leadership Skills,UTSC,Fall_2021,LEC02,37,6,3,3.3,3.2,3,3.2,2.5,2.5,3.2,2.5,3,3.5,3,3,3.5,2,"2,4","3,4","3,5","1,3,5",4,2,1.5,1.4,1.6,1.8,1.5,1.2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"b'Prof Phani always let us play games in class. I hope she would explain more on her slides. Her materials are somehow confusing.Every lecture was 1 hour of break out rooms. Keep in mind the lecture is booked for 2 hours. Very little instructions at all! In fact,some classes consisted entirely of breakout rooms with NO instruction at all. Feels like the instructor did not want to teach us!Professor brought her enthusiasm to every lecture. But most of the homework was not contributing to the learning process.'","b""b'\\xe2\\x80\\x93N/AN/AProfessor Radhakrishnan and her TA were always available to clarify any confusion and to provide assistance.TA took many pictures, but he does not share it with students.'"""
MGM466H5,UTM,Fall_2020,LEC9101,12,6,3.7,3.8,4.2,4,4,3.3,2.5,3.2,2.5,3.5,4,4.5,4,4,3.5,3,4,5,"3,4,5","3,4,5",4,0.8,0.4,1,0.9,0.9,0.8,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"b'Lectures were okay, but the layout of the quercus page, and use of iDecision games were quite confusing. Specifically, theinstructions for the group project were quite scattered and a bit hard to understand without reading multiple times.The course was excellent overall! A few pointers:\xe2\x80\x93More clear and detailed instructions need to be given for journals, homeworks, and assignments. \xe2\x80\x93Lecture slides should be unified into one slide deck per lecture and updated clearly on a year by year basis. Also recommendreflecting on book updates and any changes (chapter number changes can change too!), further, any journal/hw should be postedclearly so we know what to answer. \xe2\x80\x93We should not be required to purchase things we will not use! We were required to subscribe to iDecisionGames but never usedit, it was at a cost of about 12 dollars.This was a very good class, it had a lot of opportunities to help your mark and I think it was overall run pretty wellInstructor provides a lot of opportunities for participation and engagement with course content. Only issue would be the that the finalassignment seemed unrelated to the course content learnt.8. Please comment on any assistance that was available to support your learning in this course.Comments'","b'Responses to questions via email or microsoft teams came quite quickly.TA and Prof were always accessible via outlook, teams, and zoom! Here they would try to clarify what we needed to do for coursework and assessments. I would personally recommend they try to be more clear in how they explain concepts and expectations forcourse content assessments and assignments.Professor was very responsive at all times and always available to help'"
Leadership Skills,UTSC,Summer_2021,LEC01,42,8,2.3,2.4,2.6,2.8,2.6,2.1,2.6,3.6,2.1,2,2,3,3,2.5,2,2,2,3,3,"1,2,3","1,2",1,1.2,1.2,1.2,1.4,1.2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"b'I would have preferred actual lecturing rather than constant breakout rooms. Very little of the actual information required forunderstanding was taught within the class and the information that was provided was skimmed over rather quickly. Students wereleft to learn the slide materials on their own time and were given supplementary videos to watch out of class when there was anample amount of class time to cover all the material.The assignments (individual and group) instructions were not clear. It is hard for me to understand how to do well on theassignmentsIt is really confusing and the instruction was not clear at allLimited teaching, would make the classes revolve around group work with limited to no guidance. Activities often felt pointless.The learning experience was great especially with the in class exercises and discussions! The ability to talk to the professor and TAover teams was also an excellent addition that I have not experienced in other classes as it made it easy to ask questions and seethe questions other students have asked. The only dislike I had was the way in which the class materials were organized. It wasunclear to me which slides we were supposed to look at for class as there was just so much material given that are similar yethave different slides included. Additionally, finding the journal questions required more effort than needed. It would have been a loteasier from a student perspective if the questions were laid out in the assignment section so that we didn\xe2\x80\x99t have to scroll through60 slides to find the information we needed. I was also unsure if I answered all the questions or if I missed a slide of questionswhich made me feel uneasy before submission.8. Please comment on any assistance that was available to support your learning in this course.Comments'",b'The professor was available on Microsoft teams.Professor is really willing to answer questions and quick responses to themNo'
Leadership Skills,UTSC,Fall_2021,LEC03,37,9,3,3,3.6,3.3,3.1,2.8,2.6,3.8,2.4,3,3,4,4,4,3,4,"2,4",4,4,4,"1,2,3,4",1.4,1.3,1.1,1.1,1.6,1.4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"b""Lots of writing but it was always a good environment to be apart ofGoodGoodThe lecture materials were never actually thoroughly explained. Instead, it's obsessed with doing activities and role\xe2\x80\x93plays whichdoesn't help at all when the content itself is not taught.Professor and the TA did a great job as they created exercises and role plays that kept the students engaged. Also, slide decks andother resources were made available to us weekly and these helped strengthen my knowledge of the course content.I feel that the important concepts were not really covered in class and only in snippets of pre\xe2\x80\x93recorded videos. There is also a lot ofhomework that I feel is not supplementary to the course content and very vague sometimes.Professor R. is very nice and helps when asked, but I just found this course to be very disorganized. Half of the time the links toarticles we had to read for the class were broken, and also the Quercus page was difficult to navigate and unclear.8. Please comment on any assistance that was available to support your learning in this course.Comments""","b'Any that was neededNAAdequateProfessor was available through Microsoft Teams. Whenever there was a question that somebody had, we could simply ask her onMS teams and she would provide a quick response.Professor was always available through various platforms (email, teams, etc.)'"
Leadership Skills,UTSC,Winter_2021,LEC05,31,3,2.7,3,4,2.7,2.7,3,2.7,3,3,3,3,4,3,2,3,"1,3,4","2,3,4","3,4,5","1,3,4",2,"2,3,4",1.5,1,1,1.5,1.2,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"b""The classes were great but breakout room activities were poorly structured and diminished their potential learning value.The prof was always smiling and enthusiastic about the course material, which made learning a good experience. Some activitieswere confusing but overall it was enjoyable.The overall atmosphere of this course is chill and fun. The professor is very warm and approachable, which is a nice element invirtual classes. Unfortunately, I find the course not intellectually stimulating. All activities and discussions on iDecisionGamereminds me of play house, often times awkward if not confusing. I found myself using common sense much more than I usecourse related academic knowledge in assignments completion. The knowledge I gained from this course just didn't measure upto my $6,000+/course tuition.8. Please comment on any assistance that was available to support your learning in this course.Comments""",b'The teacher was openly available to talk with students throughout the week.The prof was always available to answer questions. Super friendly to approach.The prof opened up a microsoft team for communication.'
Labour Issues,UTSC,Fall_2021,LEC01,15,4,2.3,2.5,2.5,2.5,2.5,2.3,2.8,3.3,2,2,2.5,2,2.5,2.5,2,2,"1,2,3,4",1,"1,2,3,4","1,2,3,4",1,1.3,1.3,1.9,1.3,1.3,1.5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"b'It was a very interesting course. I got to experience how to do arbitration, negotiation and debate with my classmates. I reallyenjoyed the last project for this course as it is relating to the current covid\xe2\x80\x9319 topic regarding the vaccine this allowed me to havethe opportunity to research a lot about the vaccine situation regarding another country. I had a really great time working with mygroup and as well as researching to come up with a solution for the problem that the country is facing regarding vaccines.Professor was enthusiastic about the material, but the final project breakdown could have been a bit clearer. Some sections werevague and asked questions that were difficult to obtain information on.Not great. Professor is too unfocused, does not relate assessments and homework to course material.Not enough instruction in lectures. Pre\xe2\x80\x93recorded lectures provided were not helpful.8. Please comment on any assistance that was available to support your learning in this course.Comments'",b'There were additional videos or articles that we can look at to help us with our homework before class to have a betterunderstanding of the topic. The professor can be easily contacted through teams or emails when there are questions.'
